State/District/Pincode,Year,Quarter,Registered_Users
800001,2023,3,489967
800006,2023,3,323960
800020,2023,3,298213
845401,2023,3,267457
845438,2023,3,220063
823001,2023,3,182756
842001,2023,3,166557
846004,2023,3,160667
802301,2023,3,158488
801503,2023,3,156227
patna,2023,4,3335655
muzaffarpur,2023,4,1336058
purbi champaran,2023,4,1280593
gaya,2023,4,1066119
pashchim champaran,2023,4,969579
saran,2023,4,942850
samastipur,2023,4,939833
madhubani,2023,4,935884
darbhanga,2023,4,929423
vaishali,2023,4,855913
800001,2023,4,505940
800006,2023,4,335209
800020,2023,4,308191
845401,2023,4,276952
845438,2023,4,227990
823001,2023,4,188992
842001,2023,4,172397
846004,2023,4,166478
802301,2023,4,164095
801503,2023,4,161538
patna,2024,1,3464540
muzaffarpur,2024,1,1391427
purbi champaran,2024,1,1335289
gaya,2024,1,1110224
pashchim champaran,2024,1,1011106
saran,2024,1,983188
samastipur,2024,1,980091
madhubani,2024,1,975263
darbhanga,2024,1,967610
vaishali,2024,1,891651
800001,2024,1,524465
800006,2024,1,348192
800020,2024,1,319873
845401,2024,1,288419
845438,2024,1,237551
823001,2024,1,196368
842001,2024,1,179344
846004,2024,1,172938
802301,2024,1,170583
801503,2024,1,167806
patna,2024,2,3591041
muzaffarpur,2024,2,1444988
purbi champaran,2024,2,1386400
gaya,2024,2,1152573
pashchim champaran,2024,2,1049701
saran,2024,2,1021494
samastipur,2024,2,1018329
madhubani,2024,2,1012965
darbhanga,2024,2,1005036
vaishali,2024,2,926039
800001,2024,2,543315
800006,2024,2,360950
800020,2024,2,331336
845401,2024,2,299257
845438,2024,2,246484
823001,2024,2,203574
842001,2024,2,186146
846004,2024,2,179401
802301,2024,2,176952
801503,2024,2,173770
patna,2024,3,3685436
muzaffarpur,2024,3,1639344
purbi champaran,2024,3,1628560
gaya,2024,3,1346892
pashchim champaran,2024,3,1207481
samastipur,2024,3,1189767
darbhanga,2024,3,1116870
saran,2024,3,1102559
madhubani,2024,3,1081298
bhagalpur,2024,3,1052571
800001,2024,3,478115
823001,2024,3,351211
845401,2024,3,330558
800006,2024,3,308163
800020,2024,3,237898
800007,2024,3,214781
843302,2024,3,202753
802301,2024,3,197129
842001,2024,3,189671
845438,2024,3,184606
patna,2024,4,3796825
purbi champaran,2024,4,1719763
muzaffarpur,2024,4,1716695
gaya,2024,4,1401871
pashchim champaran,2024,4,1275889
samastipur,2024,4,1250419
saran,2024,4,1166480
darbhanga,2024,4,1166330
madhubani,2024,4,1134617
vaishali,2024,4,1097072
800001,2024,4,491519
823001,2024,4,362262
845401,2024,4,343290
800006,2024,4,313810
800020,2024,4,243821
800007,2024,4,221544
843302,2024,4,211048
802301,2024,4,203971
842001,2024,4,196786
845438,2024,4,191980
chandigarh,2018,1,86268
160101,2018,1,11805
160002,2018,1,10228
160036,2018,1,9118
160047,2018,1,8701
160022,2018,1,7205
160014,2018,1,5082
160015,2018,1,3791
160030,2018,1,3568
160019,2018,1,3384
160020,2018,1,3161
chandigarh,2018,2,115219
160101,2018,2,15846
160002,2018,2,13532
160036,2018,2,12172
160047,2018,2,11636
160022,2018,2,9558
160014,2018,2,7019
160015,2018,2,4883
160030,2018,2,4840
160019,2018,2,4407
160020,2018,2,4165
chandigarh,2018,3,143893
160101,2018,3,19810
160002,2018,3,16929
160036,2018,3,15103
160047,2018,3,14492
160022,2018,3,11963
160014,2018,3,8884
160015,2018,3,6087
160030,2018,3,5895
160019,2018,3,5610
160020,2018,3,5211
chandigarh,2018,4,177747
160101,2018,4,24670
160002,2018,4,21350
160036,2018,4,18721
160047,2018,4,17732
160022,2018,4,14640
160014,2018,4,11285
160015,2018,4,7435
160030,2018,4,7194
160019,2018,4,6759
160020,2018,4,6374
chandigarh,2019,1,209175
160101,2019,1,29177
160002,2019,1,25286
160036,2019,1,22093
160047,2019,1,20696
160022,2019,1,17171
160014,2019,1,13548
160015,2019,1,8582
160030,2019,1,8239
160019,2019,1,7885
160020,2019,1,7361
chandigarh,2019,2,240439
160101,2019,2,33226
160002,2019,2,28840
160036,2019,2,25318
160047,2019,2,23915
160022,2019,2,19707
160014,2019,2,15583
160015,2019,2,9647
160030,2019,2,9337
160011,2019,2,8964
160019,2019,2,8898
chandigarh,2019,3,267337
160101,2019,3,36777
160002,2019,3,31994
160036,2019,3,28167
160047,2019,3,26498
160022,2019,3,21892
160014,2019,3,17435
160011,2019,3,10735
160015,2019,3,10628
160030,2019,3,10239
160019,2019,3,9821
chandigarh,2019,4,289590
160101,2019,4,39986
160002,2019,4,34899
160036,2019,4,30449
160047,2019,4,28715
160022,2019,4,23574
160014,2019,4,19040
160011,2019,4,11692
160015,2019,4,11476
160030,2019,4,10959
160019,2019,4,10540
chandigarh,2020,1,312887
160101,2020,1,43456
160002,2020,1,37722
160036,2020,1,33042
160047,2020,1,31101
160022,2020,1,25119
160014,2020,1,21073
160011,2020,1,12511
160015,2020,1,12196
160030,2020,1,11732
160019,2020,1,11241
chandigarh,2020,2,336351
160101,2020,2,47100
160002,2020,2,40795
160036,2020,2,35489
160047,2020,2,33566
160022,2020,2,26409
160014,2020,2,23291
160011,2020,2,13058
160015,2020,2,12817
160030,2020,2,12456
160019,2020,2,11973
chandigarh,2020,3,362588
160101,2020,3,50901
160002,2020,3,44149
160036,2020,3,38339
160047,2020,3,36323
160022,2020,3,28178
160014,2020,3,25601
160015,2020,3,13598
160011,2020,3,13532
160030,2020,3,13346
160019,2020,3,12815
chandigarh,2020,4,391402
160101,2020,4,55221
160002,2020,4,47806
160036,2020,4,41473
160047,2020,4,39470
160022,2020,4,30329
160014,2020,4,27809
160015,2020,4,14608
160030,2020,4,14336
160011,2020,4,14092
160019,2020,4,13806
chandigarh,2021,1,419998
160101,2021,1,59366
160002,2021,1,51384
160036,2021,1,44518
160047,2021,1,42473
160022,2021,1,32441
160014,2021,1,29983
160015,2021,1,15642
160030,2021,1,15357
160011,2021,1,14949
160019,2021,1,14773
chandigarh,2021,2,448572
160101,2021,2,63492
160002,2021,2,54973
160036,2021,2,47535
160047,2021,2,45337
160022,2021,2,34573
160014,2021,2,32068
160015,2021,2,16673
160030,2021,2,16402
160011,2021,2,15925
160019,2021,2,15784
chandigarh,2021,3,480463
160101,2021,3,68033
160002,2021,3,58992
160036,2021,3,50920
160047,2021,3,48505
160022,2021,3,36978
160014,2021,3,34469
160015,2021,3,17785
160030,2021,3,17596
160011,2021,3,16987
160019,2021,3,16871
chandigarh,2021,4,512092
160101,2021,4,72637
160002,2021,4,62969
160036,2021,4,54223
160047,2021,4,51660
160022,2021,4,39282
160014,2021,4,36857
160015,2021,4,18899
160030,2021,4,18735
160011,2021,4,18061
160019,2021,4,17944
chandigarh,2022,1,541549
160101,2022,1,76960
160002,2022,1,66680
160036,2022,1,57265
160047,2022,1,54598
160022,2022,1,41445
160014,2022,1,39045
160015,2022,1,19940
160030,2022,1,19799
160011,2022,1,19085
160019,2022,1,18943
chandigarh,2022,2,569582
160101,2022,2,81030
160002,2022,2,70202
160036,2022,2,60207
160047,2022,2,57439
160022,2022,2,43479
160014,2022,2,41121
160015,2022,2,20944
160030,2022,2,20822
160011,2022,2,20043
160019,2022,2,19907
chandigarh,2022,3,598698
160101,2022,3,85368
160002,2022,3,73870
160036,2022,3,63231
160047,2022,3,60295
160022,2022,3,45609
160014,2022,3,43314
160015,2022,3,21953
160030,2022,3,21889
160011,2022,3,21003
160019,2022,3,20886
chandigarh,2022,4,627563
160101,2022,4,89650
160002,2022,4,77592
160036,2022,4,66174
160047,2022,4,63191
160022,2022,4,47654
160014,2022,4,45488
160015,2022,4,22959
160030,2022,4,22922
160011,2022,4,22005
160019,2022,4,21875
chandigarh,2023,1,654522
160101,2023,1,93655
160002,2023,1,81021
160036,2023,1,68977
160047,2023,1,65836
160022,2023,1,49605
160014,2023,1,47548
160030,2023,1,23910
160015,2023,1,23885
160011,2023,1,22909
160019,2023,1,22767
chandigarh,2023,2,678662
160101,2023,2,97213
160002,2023,2,84151
160036,2023,2,71473
160047,2023,2,68217
160022,2023,2,51332
160014,2023,2,49435
160030,2023,2,24769
160015,2023,2,24711
160011,2023,2,23730
160019,2023,2,23569
chandigarh,2023,3,704144
160101,2023,3,100857
160002,2023,3,87417
160036,2023,3,74155
160047,2023,3,70803
160022,2023,3,53191
160014,2023,3,51386
160030,2023,3,25743
160015,2023,3,25596
160011,2023,3,24560
160025,2023,3,24439
chandigarh,2023,4,727594
160101,2023,4,104350
160002,2023,4,90463
160036,2023,4,76529
160047,2023,4,73128
160022,2023,4,54824
160014,2023,4,53225
160030,2023,4,26584
160015,2023,4,26399
160011,2023,4,25331
160025,2023,4,25291
chandigarh,2024,1,754849
160101,2024,1,108400
160002,2024,1,93969
160036,2024,1,79333
160047,2024,1,75839
160022,2024,1,56817
160014,2024,1,55250
160030,2024,1,27601
160015,2024,1,27324
160025,2024,1,26283
160011,2024,1,26252
chandigarh,2024,2,782791
160101,2024,2,112604
160002,2024,2,97548
160036,2024,2,82254
160047,2024,2,78596
160022,2024,2,58814
160014,2024,2,57409
160030,2024,2,28626
160015,2024,2,28274
160025,2024,2,27261
160011,2024,2,27168
chandigarh,2024,3,700398
160101,2024,3,113514
160002,2024,3,87935
160047,2024,3,76832
160036,2024,3,72088
160022,2024,3,51760
160014,2024,3,50428
160019,2024,3,29678
160025,2024,3,29175
160015,2024,3,25261
160020,2024,3,20594
chandigarh,2024,4,721216
160101,2024,4,117061
160002,2024,4,90211
160047,2024,4,79086
160036,2024,4,73988
160022,2024,4,53201
160014,2024,4,51928
160019,2024,4,30557
160025,2024,4,30057
160015,2024,4,26300
160020,2024,4,21240
raipur,2018,1,135308
durg,2018,1,91516
bilaspur,2018,1,68704
raigarh,2018,1,51628
janjgir champa,2018,1,42297
korba,2018,1,39075
rajnandgaon,2018,1,26295
surguja,2018,1,22001
baloda bazar,2018,1,21747
mahasamund,2018,1,19608
492001,2018,1,33697
495001,2018,1,31414
497001,2018,1,17641
491001,2018,1,16037
496005,2018,1,14858
490023,2018,1,14149
490006,2018,1,13820
491441,2018,1,13502
492009,2018,1,12380
495450,2018,1,11340
raipur,2018,2,185747
durg,2018,2,124515
bilaspur,2018,2,94888
raigarh,2018,2,70970
janjgir champa,2018,2,60185
korba,2018,2,54105
rajnandgaon,2018,2,38120
baloda bazar,2018,2,32314
surguja,2018,2,30374
mahasamund,2018,2,28208
492001,2018,2,46075
495001,2018,2,42241
497001,2018,2,24183
491001,2018,2,21986
496005,2018,2,20104
490023,2018,2,19029
491441,2018,2,18770
490006,2018,2,18260
492009,2018,2,16914
495450,2018,2,15410
raipur,2018,3,231146
durg,2018,3,150753
bilaspur,2018,3,119415
raigarh,2018,3,89911
janjgir champa,2018,3,77834
korba,2018,3,68746
rajnandgaon,2018,3,50271
baloda bazar,2018,3,43335
surguja,2018,3,40025
mahasamund,2018,3,36628
492001,2018,3,56931
495001,2018,3,51338
497001,2018,3,31248
491001,2018,3,26913
496005,2018,3,24939
491441,2018,3,23726
490023,2018,3,22719
490006,2018,3,21320
492009,2018,3,20833
495450,2018,3,19323
raipur,2018,4,289198
durg,2018,4,185746
bilaspur,2018,4,153972
raigarh,2018,4,116785
janjgir champa,2018,4,107156
korba,2018,4,88680
rajnandgaon,2018,4,64828
baloda bazar,2018,4,60270
surguja,2018,4,51776
mahasamund,2018,4,47626
492001,2018,4,70803
495001,2018,4,63849
497001,2018,4,39828
491001,2018,4,33311
496005,2018,4,31493
491441,2018,4,29687
490023,2018,4,27817
492009,2018,4,26001
490006,2018,4,25695
495450,2018,4,24526
raipur,2019,1,351495
durg,2019,1,224058
bilaspur,2019,1,184636
raigarh,2019,1,139059
janjgir champa,2019,1,130114
korba,2019,1,105570
rajnandgaon,2019,1,78320
baloda bazar,2019,1,73454
surguja,2019,1,62300
mahasamund,2019,1,56953
492001,2019,1,86083
495001,2019,1,75175
497001,2019,1,47425
491001,2019,1,40489
496005,2019,1,37229
491441,2019,1,35384
490023,2019,1,33849
492009,2019,1,32208
490006,2019,1,30575
495450,2019,1,28696
raipur,2019,2,405792
durg,2019,2,257557
bilaspur,2019,2,209039
raigarh,2019,2,156178
janjgir champa,2019,2,147327
korba,2019,2,119540
rajnandgaon,2019,2,91198
baloda bazar,2019,2,84458
surguja,2019,2,71076
mahasamund,2019,2,65492
492001,2019,2,101202
495001,2019,2,83752
497001,2019,2,53805
491001,2019,2,47000
496005,2019,2,41612
491441,2019,2,40731
490023,2019,2,38778
492009,2019,2,37269
490006,2019,2,34533
495450,2019,2,31991
raipur,2019,3,455785
durg,2019,3,289803
bilaspur,2019,3,230364
raigarh,2019,3,170447
janjgir champa,2019,3,161232
korba,2019,3,131850
rajnandgaon,2019,3,101617
baloda bazar,2019,3,93416
surguja,2019,3,79170
mahasamund,2019,3,72039
492001,2019,3,114627
495001,2019,3,91881
497001,2019,3,60207
491001,2019,3,53426
496005,2019,3,45607
491441,2019,3,45344
490023,2019,3,43443
492009,2019,3,41984
490006,2019,3,38436
495450,2019,3,35125
raipur,2019,4,506122
durg,2019,4,321390
bilaspur,2019,4,257350
raigarh,2019,4,189764
janjgir champa,2019,4,180195
korba,2019,4,147812
rajnandgaon,2019,4,113965
baloda bazar,2019,4,104742
surguja,2019,4,89297
mahasamund,2019,4,80893
492001,2019,4,126984
495001,2019,4,101245
497001,2019,4,67647
491001,2019,4,59454
491441,2019,4,50228
496005,2019,4,49927
490023,2019,4,47785
492009,2019,4,46345
490006,2019,4,42008
495450,2019,4,38901
raipur,2020,1,559412
durg,2020,1,353311
bilaspur,2020,1,284320
raigarh,2020,1,208338
janjgir champa,2020,1,199431
korba,2020,1,163500
rajnandgaon,2020,1,126699
baloda bazar,2020,1,115907
surguja,2020,1,98711
mahasamund,2020,1,89942
492001,2020,1,140048
495001,2020,1,110715
497001,2020,1,74566
491001,2020,1,65631
491441,2020,1,55399
496005,2020,1,54386
490023,2020,1,52266
492009,2020,1,51146
490006,2020,1,45425
495450,2020,1,42930
raipur,2020,2,616931
durg,2020,2,387874
bilaspur,2020,2,316669
raigarh,2020,2,233080
janjgir champa,2020,2,227716
korba,2020,2,184399
rajnandgaon,2020,2,146098
baloda bazar,2020,2,134301
surguja,2020,2,110765
mahasamund,2020,2,103117
492001,2020,2,151787
495001,2020,2,120117
497001,2020,2,83017
491001,2020,2,72228
491441,2020,2,62172
496005,2020,2,59452
490023,2020,2,56411
492009,2020,2,55679
490006,2020,2,48734
495450,2020,2,47509
raipur,2020,3,679027
durg,2020,3,426052
bilaspur,2020,3,349586
raigarh,2020,3,259581
janjgir champa,2020,3,254275
korba,2020,3,204448
rajnandgaon,2020,3,166416
baloda bazar,2020,3,150975
surguja,2020,3,124081
mahasamund,2020,3,116370
492001,2020,3,164803
495001,2020,3,131279
497001,2020,3,92438
491001,2020,3,79505
491441,2020,3,69637
496005,2020,3,65408
490023,2020,3,61657
492009,2020,3,60889
490006,2020,3,52709
495450,2020,3,52395
raipur,2020,4,743167
durg,2020,4,464870
bilaspur,2020,4,384115
raigarh,2020,4,285081
janjgir champa,2020,4,280474
korba,2020,4,225683
rajnandgaon,2020,4,185815
baloda bazar,2020,4,166144
surguja,2020,4,137221
mahasamund,2020,4,129536
492001,2020,4,178877
495001,2020,4,143559
497001,2020,4,101713
491001,2020,4,87076
491441,2020,4,77139
496005,2020,4,71047
490023,2020,4,67026
492009,2020,4,66591
495450,2020,4,57457
490006,2020,4,57129
raipur,2021,1,800224
durg,2021,1,498453
bilaspur,2021,1,413692
raigarh,2021,1,306712
janjgir champa,2021,1,301931
korba,2021,1,243030
rajnandgaon,2021,1,200572
baloda bazar,2021,1,178486
surguja,2021,1,147969
mahasamund,2021,1,139572
492001,2021,1,192280
495001,2021,1,154709
497001,2021,1,109875
491001,2021,1,93667
491441,2021,1,83189
496005,2021,1,76306
490023,2021,1,71859
492009,2021,1,71684
495450,2021,1,61932
494001,2021,1,61107
raipur,2021,2,855848
durg,2021,2,531550
bilaspur,2021,2,442330
raigarh,2021,2,328664
janjgir champa,2021,2,322297
korba,2021,2,260168
rajnandgaon,2021,2,215143
baloda bazar,2021,2,191114
surguja,2021,2,158949
mahasamund,2021,2,149983
492001,2021,2,205399
495001,2021,2,165049
497001,2021,2,117695
491001,2021,2,99908
491441,2021,2,88935
496005,2021,2,81517
492009,2021,2,76560
490023,2021,2,76521
495450,2021,2,66184
494001,2021,2,65456
raipur,2021,3,917950
durg,2021,3,568361
bilaspur,2021,3,474660
raigarh,2021,3,354087
janjgir champa,2021,3,346366
korba,2021,3,279897
rajnandgaon,2021,3,232140
baloda bazar,2021,3,205941
surguja,2021,3,171276
mahasamund,2021,3,161893
492001,2021,3,219691
495001,2021,3,176348
497001,2021,3,126575
491001,2021,3,106903
491441,2021,3,95381
496005,2021,3,87358
492009,2021,3,81992
490023,2021,3,81694
495450,2021,3,70959
494001,2021,3,70221
raipur,2021,4,979741
durg,2021,4,604621
bilaspur,2021,4,506449
raigarh,2021,4,378507
janjgir champa,2021,4,368980
korba,2021,4,299191
rajnandgaon,2021,4,248230
baloda bazar,2021,4,220188
surguja,2021,4,183559
mahasamund,2021,4,173519
492001,2021,4,234198
495001,2021,4,187901
497001,2021,4,135215
491001,2021,4,113772
491441,2021,4,101670
496005,2021,4,93194
492009,2021,4,87424
490023,2021,4,86886
495450,2021,4,75706
494001,2021,4,74989
raipur,2022,1,1038105
durg,2022,1,639688
bilaspur,2022,1,537617
raigarh,2022,1,403164
janjgir champa,2022,1,392285
korba,2022,1,317604
rajnandgaon,2022,1,264326
baloda bazar,2022,1,234464
surguja,2022,1,195440
mahasamund,2022,1,185227
492001,2022,1,247599
495001,2022,1,198702
497001,2022,1,143644
491001,2022,1,120368
491441,2022,1,107760
496005,2022,1,98838
492009,2022,1,92386
490023,2022,1,91792
495450,2022,1,80200
494001,2022,1,79440
raipur,2022,2,1093318
durg,2022,2,672947
bilaspur,2022,2,566475
raigarh,2022,2,425526
janjgir champa,2022,2,414133
korba,2022,2,334672
rajnandgaon,2022,2,278724
baloda bazar,2022,2,247634
surguja,2022,2,206354
mahasamund,2022,2,195406
492001,2022,2,260351
495001,2022,2,209069
497001,2022,2,151503
491001,2022,2,126583
491441,2022,2,113505
496005,2022,2,104122
492009,2022,2,97149
490023,2022,2,96605
495450,2022,2,84459
494001,2022,2,83653
raipur,2022,3,1150501
durg,2022,3,707241
bilaspur,2022,3,596003
raigarh,2022,3,448366
janjgir champa,2022,3,436349
korba,2022,3,352198
rajnandgaon,2022,3,292804
baloda bazar,2022,3,260632
surguja,2022,3,217313
mahasamund,2022,3,205270
492001,2022,3,273586
495001,2022,3,219881
497001,2022,3,159641
491001,2022,3,133077
491441,2022,3,119363
496005,2022,3,109817
492009,2022,3,102118
490023,2022,3,101541
495450,2022,3,88925
494001,2022,3,88104
raipur,2022,4,1205632
durg,2022,4,740173
bilaspur,2022,4,622644
raigarh,2022,4,468010
janjgir champa,2022,4,455430
korba,2022,4,368179
rajnandgaon,2022,4,304353
baloda bazar,2022,4,271259
surguja,2022,4,226706
mahasamund,2022,4,213189
492001,2022,4,286884
495001,2022,4,230659
497001,2022,4,167148
491001,2022,4,139295
491441,2022,4,124619
496005,2022,4,115217
492009,2022,4,107033
490023,2022,4,106532
495450,2022,4,93326
494001,2022,4,92244
raipur,2023,1,1260366
durg,2023,1,773280
bilaspur,2023,1,651084
raigarh,2023,1,489890
janjgir champa,2023,1,476533
korba,2023,1,384883
rajnandgaon,2023,1,317976
baloda bazar,2023,1,283757
surguja,2023,1,237340
mahasamund,2023,1,222989
492001,2023,1,299741
495001,2023,1,241101
497001,2023,1,175004
491001,2023,1,145556
491441,2023,1,130250
496005,2023,1,120618
492009,2023,1,111857
490023,2023,1,111318
495450,2023,1,97597
494001,2023,1,96517
raipur,2023,2,1308762
durg,2023,2,803101
bilaspur,2023,2,677776
raigarh,2023,2,511511
janjgir champa,2023,2,497925
korba,2023,2,401398
rajnandgaon,2023,2,332345
baloda bazar,2023,2,296661
surguja,2023,2,248004
mahasamund,2023,2,233538
492001,2023,2,310425
495001,2023,2,249785
497001,2023,2,182451
491001,2023,2,151138
491441,2023,2,135501
496005,2023,2,125306
492009,2023,2,115855
490023,2023,2,115541
495450,2023,2,101392
494001,2023,2,100315
raipur,2023,3,1360842
durg,2023,3,834591
bilaspur,2023,3,705698
raigarh,2023,3,532938
janjgir champa,2023,3,518847
korba,2023,3,418027
rajnandgaon,2023,3,346368
baloda bazar,2023,3,309128
surguja,2023,3,258533
mahasamund,2023,3,243585
492001,2023,3,322356
495001,2023,3,259634
497001,2023,3,189873
491001,2023,3,157089
491441,2023,3,140800
496005,2023,3,130435
492009,2023,3,120315
490023,2023,3,119960
495450,2023,3,105476
494001,2023,3,104414
raipur,2023,4,1407537
durg,2023,4,863802
bilaspur,2023,4,729941
raigarh,2023,4,552165
janjgir champa,2023,4,537936
korba,2023,4,432504
rajnandgaon,2023,4,359246
baloda bazar,2023,4,320644
surguja,2023,4,267755
mahasamund,2023,4,252583
492001,2023,4,332868
495001,2023,4,268341
497001,2023,4,196463
491001,2023,4,162406
491441,2023,4,145795
496005,2023,4,134929
492009,2023,4,124316
490023,2023,4,124113
495450,2023,4,109138
494001,2023,4,107925
raipur,2024,1,1462871
durg,2024,1,897874
bilaspur,2024,1,759420
raigarh,2024,1,575592
janjgir champa,2024,1,560679
korba,2024,1,450305
rajnandgaon,2024,1,374946
baloda bazar,2024,1,334412
surguja,2024,1,278856
mahasamund,2024,1,263607
492001,2024,1,345337
495001,2024,1,278504
497001,2024,1,204368
491001,2024,1,168651
491441,2024,1,151705
496005,2024,1,140288
492009,2024,1,128941
490023,2024,1,128901
495450,2024,1,113506
494001,2024,1,112189
raipur,2024,2,1516797
durg,2024,2,931630
bilaspur,2024,2,787231
raigarh,2024,2,597318
janjgir champa,2024,2,582057
korba,2024,2,466567
rajnandgaon,2024,2,388822
baloda bazar,2024,2,347102
surguja,2024,2,289012
mahasamund,2024,2,273488
492001,2024,2,357857
495001,2024,2,288713
497001,2024,2,211871
491001,2024,2,174971
491441,2024,2,157264
496005,2024,2,145586
492009,2024,2,133745
490023,2024,2,133739
495450,2024,2,117658
494001,2024,2,116308
raipur,2024,3,1718625
durg,2024,3,957786
bilaspur,2024,3,874721
raigarh,2024,3,562728
korba,2024,3,540888
janjgir champa,2024,3,382345
surguja,2024,3,373283
mahasamund,2024,3,348919
balodabazar bhatapara,2024,3,347207
rajnandgaon,2024,3,335631
492001,2024,3,521527
495001,2024,3,327291
497001,2024,3,269624
496001,2024,3,244806
491001,2024,3,237603
491441,2024,3,176824
493221,2024,3,167870
494001,2024,3,156652
492099,2024,3,130619
491995,2024,3,125067
raipur,2024,4,1773369
durg,2024,4,988679
bilaspur,2024,4,904881
raigarh,2024,4,581651
korba,2024,4,559174
janjgir champa,2024,4,394509
surguja,2024,4,386630
mahasamund,2024,4,361759
balodabazar bhatapara,2024,4,361495
rajnandgaon,2024,4,344534
492001,2024,4,538574
495001,2024,4,338017
497001,2024,4,278257
496001,2024,4,252162
491001,2024,4,245572
491441,2024,4,181778
493221,2024,4,172681
494001,2024,4,160981
492099,2024,4,134380
491995,2024,4,130023
dadra and nagar haveli,2018,1,32028
daman,2018,1,18677
diu,2018,1,2553
396230,2018,1,26888
396210,2018,1,12153
396215,2018,1,6390
396235,2018,1,5140
362520,2018,1,1330
362571,2018,1,767
362540,2018,1,365
396220,2018,1,134
362570,2018,1,91
dadra and nagar haveli,2018,2,43085
daman,2018,2,25144
diu,2018,2,3229
396230,2018,2,36053
396210,2018,2,16275
396215,2018,2,8687
396235,2018,2,7032
362520,2018,2,1728
362571,2018,2,930
362540,2018,2,463
396220,2018,2,182
362570,2018,2,108
dadra and nagar haveli,2018,3,55626
daman,2018,3,32651
diu,2018,3,3830
396230,2018,3,46381
396210,2018,3,20999
396215,2018,3,11408
396235,2018,3,9245
362520,2018,3,2056
362571,2018,3,1076
362540,2018,3,573
396220,2018,3,244
362570,2018,3,125
dadra and nagar haveli,2018,4,69833
daman,2018,4,42069
diu,2018,4,4609
396230,2018,4,58055
396210,2018,4,27039
396215,2018,4,14722
396235,2018,4,11778
362520,2018,4,2456
362571,2018,4,1336
362540,2018,4,686
396220,2018,4,308
362570,2018,4,131
dadra and nagar haveli,2019,1,83987
daman,2019,1,51093
diu,2019,1,5452
396230,2019,1,69568
396210,2019,1,32703
396215,2019,1,18018
396235,2019,1,14419
362520,2019,1,2879
362571,2019,1,1582
362540,2019,1,842
396220,2019,1,372
362570,2019,1,149
dadra and nagar haveli,2019,2,94382
daman,2019,2,58005
diu,2019,2,6193
396230,2019,2,78132
396210,2019,2,37160
396215,2019,2,20428
396235,2019,2,16250
362520,2019,2,3291
362571,2019,2,1785
362540,2019,2,947
396220,2019,2,417
362570,2019,2,170
dadra and nagar haveli,2019,3,105329
daman,2019,3,64854
diu,2019,3,6746
396230,2019,3,87039
396210,2019,3,41395
396215,2019,3,22996
396235,2019,3,18290
362520,2019,3,3618
362571,2019,3,1908
362540,2019,3,1044
396220,2019,3,463
362570,2019,3,176
dadra and nagar haveli,2019,4,117805
daman,2019,4,72470
diu,2019,4,7323
396230,2019,4,97116
396210,2019,4,46041
396215,2019,4,25932
396235,2019,4,20689
362520,2019,4,3953
362571,2019,4,2041
362540,2019,4,1138
396220,2019,4,497
362570,2019,4,191
dadra and nagar haveli,2020,1,130255
daman,2020,1,80329
diu,2020,1,7912
396230,2020,1,107112
396210,2020,1,50829
396215,2020,1,28959
396235,2020,1,23143
362520,2020,1,4269
362571,2020,1,2223
362540,2020,1,1217
396220,2020,1,541
362570,2020,1,203
dadra and nagar haveli,2020,2,146003
daman,2020,2,90016
diu,2020,2,8795
396230,2020,2,119858
396210,2020,2,56796
396215,2020,2,32569
396235,2020,2,26145
362520,2020,2,4635
362571,2020,2,2541
362540,2020,2,1398
396220,2020,2,651
362570,2020,2,221
dadra and nagar haveli,2020,3,160183
daman,2020,3,98108
diu,2020,3,9655
396230,2020,3,131460
396210,2020,3,61967
396215,2020,3,35428
396235,2020,3,28723
362520,2020,3,5010
362571,2020,3,2821
362540,2020,3,1581
396220,2020,3,713
362570,2020,3,243
dadra and nagar haveli,2020,4,177432
daman,2020,4,108511
diu,2020,4,10550
396230,2020,4,145541
396210,2020,4,68594
396215,2020,4,39109
396235,2020,4,31891
362520,2020,4,5447
362571,2020,4,3079
362540,2020,4,1750
396220,2020,4,808
362570,2020,4,274
dadra and nagar haveli,2021,1,192262
daman,2021,1,117728
diu,2021,1,11406
396230,2021,1,157679
396210,2021,1,74340
396215,2021,1,42510
396235,2021,1,34583
362520,2021,1,5885
362571,2021,1,3337
362540,2021,1,1890
396220,2021,1,878
362570,2021,1,294
dadra and nagar haveli,2021,2,206516
daman,2021,2,126258
diu,2021,2,12220
396230,2021,2,169433
396210,2021,2,79673
396215,2021,2,45646
396235,2021,2,37083
362520,2021,2,6307
362571,2021,2,3577
362540,2021,2,2027
396220,2021,2,939
362570,2021,2,309
dadra and nagar haveli,2021,3,222731
daman,2021,3,135976
diu,2021,3,13167
396230,2021,3,182708
396210,2021,3,85704
396215,2021,3,49261
396235,2021,3,40023
362520,2021,3,6787
362571,2021,3,3850
362540,2021,3,2189
396220,2021,3,1011
362570,2021,3,341
dadra and nagar haveli,2021,4,239110
daman,2021,4,145806
diu,2021,4,14047
396230,2021,4,196135
396210,2021,4,91807
396215,2021,4,52915
396235,2021,4,42975
362520,2021,4,7231
362571,2021,4,4107
362540,2021,4,2349
396220,2021,4,1084
362570,2021,4,360
dadra and nagar haveli,2022,1,254577
daman,2022,1,155029
diu,2022,1,14964
396230,2022,1,208830
396210,2022,1,97488
396215,2022,1,56396
396235,2022,1,45747
362520,2022,1,7714
362571,2022,1,4360
